data,abertura,alta,baixa,fechamento,ajuste_proximo,Volume
38300,8690000000,8750000000,8600000000,8620000000,6562680664,26775000
38301,8640000000,8780000000,8640000000,8780000000,6684495117,18300000
38302,8780000000,8860000000,8710000000,8740000000,6654041504,30540000
38303,8980000000,9020000000,8870000000,8970000000,6829146973,22700000
38306,9060000000,9200000000,9050000000,9130000000,6950960449,19030000
38307,9180000000,9200000000,9100000000,9110000000,6935734863,24750000
38308,9120000000,9250000000,9110000000,9230000000,7027094238,21975000
38309,9300000000,9390000000,9200000000,9270000000,7057547852,29425000
38310,9200000000,9320000000,8990000000,9080000000,6912895508,22255000
38313,8840000000,8910000000,8730000000,8800000000,6699723145,34575000
38314,8900000000,8910000000,8760000000,8820000000,6714949219,23210000
38315,8760000000,8840000000,8680000000,8790000000,6692107910,23150000
38316,8800000000,8890000000,8760000000,8820000000,6714949219,22185000
38317,8770000000,8920000000,8630000000,8660000000,6593135254,26750000
38320,8580000000,8620000000,8470000000,8520000000,6486550293,31270000
38321,8540000000,8700000000,8510000000,8690000000,6615975098,30700000
38322,8570000000,8610000000,8490000000,8580000000,6532228027,21670000
38323,8720000000,8760000000,8540000000,8570000000,6524614746,25995000
38324,8660000000,8680000000,8460000000,8520000000,6486550293,34600000
38327,8500000000,8500000000,8360000000,8360000000,6364733887,19665000
38328,8290000000,8370000000,8210000000,8220000000,6258147949,26775000
38329,8110000000,8390000000,8060000000,8390000000,6387574707,27215000
38330,8340000000,8410000000,8200000000,8260000000,6288602539,40085000
38331,8220000000,8240000000,8090000000,8120000000,6182015137,25880000
38334,8000000000,8070000000,7980000000,8040000000,6121108887,24525000
38335,8040000000,8270000000,8040000000,8250000000,6280987793,27680000
38336,8360000000,8570000000,8360000000,8570000000,6524614746,33480000
38337,8670000000,8880000000,8640000000,8800000000,6699723145,43090000
38338,8820000000,8890000000,8710000000,8880000000,6760628418,22510000
38341,8740000000,8920000000,8740000000,8900000000,6775854004,17350000
38342,8920000000,8940000000,8800000000,8920000000,6791079590,14980000
38343,8970000000,8990000000,8840000000,8850000000,6737787598,15735000
38344,8900000000,8920000000,8640000000,8690000000,6615975098,15875000
38345,8690000000,8700000000,8600000000,8660000000,6593135254,15915000
38348,8660000000,8750000000,8630000000,8750000000,6661653809,11770000
38349,8720000000,8760000000,8630000000,8720000000,6638813965,13635000
38350,8680000000,8890000000,8670000000,8890000000,6768241211,17105000
38351,8860000000,9020000000,8860000000,9010000000,6859600586,17265000
38352,9010000000,9010000000,9010000000,9010000000,6859600586,0
